"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"117",26014,"Wainfleet Tp",3526014,"Niagara","Township","Wainfleet",80158,69574
"118",26021,"West Lincoln Tp",3526021,"Niagara","Township","West Lincoln",86610,76648
"119",26028,"Pelham T",3526028,"Niagara","Town","Pelham",105154,84795
"120",26032,"Welland C",3526032,"Niagara","City","Welland",63220,53238
"121",26037,"Thorold C",3526037,"Niagara","City","Thorold",70501,59256
"122",26043,"Niagara Falls C",3526043,"Niagara","City","Niagara Falls",67982,54783
"123",26047,"Niagara-on-the-Lake T",3526047,"Niagara","Town","Niagara-on-the-Lake",93491,77007
"124",26053,"St. Catharines C",3526053,"Niagara","City","St. Catharines",68482,54409
"125",26057,"Lincoln T",3526057,"Niagara","Town","Lincoln",88577,73335
"126",26065,"Grimsby T",3526065,"Niagara","Town","Grimsby",92038,79036
"127",28005,"Haldimand County",3528018,"Haldimand-Norfolk","City","Haldimand County",79352,68510
"128",28030,"Norfolk County",3528052,"Haldimand-Norfolk","City","Norfolk County",70312,57659
"129",29002,"Brant County",3529005,"Brant","City","Brant",94540,74955
"130",29006,"Brantford C",3529006,"Brant","City","Brantford",67554,56837
"131",30000,"Waterloo R",NA,NA,NA,NA,NA,NA
"132",30001,"North Dumfries Tp",3530004,"Waterloo","Township","North Dumfries",107908,91459
"133",30006,"Cambridge C",3530010,"Waterloo","City","Cambridge",80958,68373
"134",30012,"Kitchener C",3530013,"Waterloo","City","Kitchener",76770,63709
"135",30016,"Waterloo C",3530016,"Waterloo","City","Waterloo",100414,77626
"136",30018,"Wilmot Tp",3530020,"Waterloo","Township","Wilmot",98154,82802
"137",30024,"Wellesley Tp",3530027,"Waterloo","Township","Wellesley",95379,85097
"138",30029,"Woolwich Tp",3530035,"Waterloo","Township","Woolwich",113678,88161
"139",31000,"Perth Co",NA,NA,NA,NA,NA,NA
"140",31002,"Perth East Tp",3531030,"Perth","Township","Perth East",83915,74488
"141",31008,"Perth South Tp",3531013,"Perth","Township","Perth South",97004,80711
"142",31011,"Stratford C",3531011,"Perth","City","Stratford",71523,56641
"143",31016,"St. Marys ST",3531016,"Perth","Town","St. Marys",76117,68175
"144",31017,"West Perth M",3531025,"Perth","Municipality","West Perth",76026,67959
"145",31035,"North Perth M",3531040,"Perth","Municipality","North Perth",74918,63727
"146",32000,"Oxford Co",NA,NA,NA,NA,NA,NA
"147",32002,"Norwich Tp",3532002,"Oxford","Township","Norwich",76885,68178
"148",32004,"Tillsonburg T",3532004,"Oxford","Town","Tillsonburg",64051,52228
"149",32011,"South-West Oxford Tp",3532012,"Oxford","Township","South-West Oxford",92489,73996
"150",32018,"Ingersoll T",3532018,"Oxford","Town","Ingersoll",74778,66366
"151",32027,"Zorra Tp",3532027,"Oxford","Township","Zorra",88893,75250
"152",32038,"East Zorra - Tavistock Tp",3532038,"Oxford","Township","East Zorra-Tavistock",83048,77953
"153",32042,"Woodstock C",3532042,"Oxford","City","Woodstock",68492,57868
"154",32045,"Blandford - Blenheim Tp",3532045,"Oxford","Township","Blandford-Blenheim",97260,86272
"155",34000,"Elgin Co",NA,NA,NA,NA,NA,NA
"156",34003,"Bayham M",3534005,"Elgin","Municipality","Bayham",66666,58543
"157",34007,"Malahide Tp",3534010,"Elgin","Township","Malahide",71391,60343
"158",34011,"Aylmer T",3534011,"Elgin","Town","Aylmer",61242,50908
"159",34015,"Central Elgin M",3534020,"Elgin","Municipality","Central Elgin",83986,73615
"160",34021,"St. Thomas C",3534021,"Elgin","City","St. Thomas",64621,56599
"161",34024,"Southwold Tp",3534024,"Elgin","Township","Southwold",91030,80727
"162",34028,"Dutton-Dunwich M",3534030,"Elgin","Municipality","Dutton/Dunwich",75985,70082
"163",34035,"West Elgin M",3534042,"Elgin","Municipality","West Elgin",58484,48082
"164",36003,"Chatham-Kent M",3536020,"Chatham-Kent","Municipality","Chatham-Kent",63843,51851
"165",37000,"Essex Co",NA,NA,NA,NA,NA,NA
"166",37001,"Pelee Tp",3537001,"Essex","Township","Pelee",NA,NA
"167",37003,"Leamington M",3537003,"Essex","Municipality","Leamington",65713,55192
"168",37008,"Kingsville T",3537013,"Essex","Town","Kingsville",78942,68419
"169",37020,"Essex T",3537016,"Essex","Town","Essex",74902,62393
"170",37025,"Amherstburg T",3537028,"Essex","Town","Amherstburg",86116,73115
"171",37034,"LaSalle T",3537034,"Essex","Town","LaSalle",103034,90737
"172",37039,"Windsor C",3537039,"Essex","City","Windsor",62175,49113
"173",37043,"Tecumseh T",3537048,"Essex","Town","Tecumseh",99800,84771
"174",37049,"Lakeshore T",3537064,"Essex","Town","Lakeshore",95625,82017
"175",38000,"Lambton Co",NA,NA,NA,NA,NA,NA
"176",38002,"St. Clair Tp",3538003,"Lambton","Township","St. Clair",86012,72444
"177",38005,"Dawn-Euphemia Tp",3538007,"Lambton","Township","Dawn-Euphemia",69160,60945
"178",38011,"Brooke-Alvinston M",3538015,"Lambton","Municipality","Brooke-Alvinston",70767,59893
"179",38016,"Enniskillen Tp",3538016,"Lambton","Township","Enniskillen",92895,79909
"180",38018,"Oil Springs V",NA,NA,NA,NA,NA,NA
"181",38019,"Petrolia T",3538019,"Lambton","Town","Petrolia",70161,63396
"182",38030,"Sarnia C",3538030,"Lambton","City","Sarnia",75892,56858
"183",38031,"Point Edward V",3538031,"Lambton","Village","Point Edward",77676,64832
"184",38033,"Plympton-Wyoming T",3538035,"Lambton","Town","Plympton-Wyoming",93960,78546
