"","MUNID","MUNTIER","LT1NO","Highest.CI","UT.Total.Core.CI","Recent.Weighted.CVA","UT.Weighted.CVA","LTUTAssessmentRatio","adjusted.core.infrastructure","Indicator1","min","median","max","Weighted.Indicator1","LT1NAME","MEDIAN.HOUSEHOLD.INCOME..FINANCE.2011....","households","Indicator2","Weighted.Indicator2","Infrastructure.Index"
"307",48031,"ST",85,18897118,NA,119627000,NA,NA,18897118,0.157966997416971,0,0.0846711530463825,0.850215013459618,0.0957434944759716,"Chisholm Tp",53070,635,0.560754493025851,0.146172898408637,0.120958196442304
"308",48034,"ST",85,13359996,NA,579984298,NA,NA,13359996,0.0230350994778138,0,0.0846711530463825,0.850215013459618,-0.727946311712618,"East Ferris M",81981,2126,0.0766531235015414,-3.85754459667921,-2.29274545419591
"309",48044,"ST",85,613806855,NA,6175741448,NA,NA,613806855,0.0993899858289534,0,0.0846711530463825,0.850215013459618,0.0192266355250054,"North Bay C",56609,23257,0.466221780197733,0.0678550528332476,0.0435408441791265
"310",48050,"ST",85,149919395,NA,1427542535,NA,NA,149919395,0.105019214015924,0,0.0846711530463825,0.850215013459618,0.0265798761139015,"West Nipissing M",51422,6020,0.484297654441892,0.0819918747241608,0.0542858754190311
"311",48069,"ST",85,18084244,NA,428577780,NA,NA,18084244,0.0421959439894434,0,0.0846711530463825,0.850215013459618,-0.501649115769941,"Temagami M",49757,1224,0.296937298276158,-0.253954851900103,-0.377801983835022
"312",49003,"ST",86,55016938,NA,3171399437,NA,NA,55016938,0.0173478425196555,0,0.0846711530463825,0.850215013459618,-0.795115078801958,"Seguin Tp",55799,4685,0.210455560468286,-0.769237957196221,-0.782176517999089
"313",49005,"ST",86,38018801,NA,1950424042,NA,NA,38018801,0.0194925822186927,0,0.0846711530463825,0.850215013459618,-0.769784849770325,"The Archipelago Tp",66506,3314,0.172498405224182,-1.15854729439144,-0.964166072080881
"314",49012,"ST",86,8961306,NA,200893323,NA,NA,8961306,0.0446072864253433,0,0.0846711530463825,0.850215013459618,-0.47317020236033,"McMurrich-Monteith Tp",32256,790,0.351668691606389,-0.0587975977692393,-0.265983900064784
"315",49014,"ST",86,13249993,NA,430856475,NA,NA,13249993,0.030752683941909,0,0.0846711530463825,0.850215013459618,-0.636798569105788,"Perry Tp",58826,1680,0.134071679108525,-1.77721565329318,-1.20700711119949
"316",49018,"ST",86,23070658,NA,347133376,NA,NA,23070658,0.0664605007615286,0,0.0846711530463825,0.850215013459618,-0.2150750477542,"Kearney T",43132,967,0.553138529269856,0.139440299413011,-0.0378173741705947
