Geographic.code,CD_Name,CSD_type,CSD_Name,LT1NAME,AHHI,MHHI
3536020,Chatham-Kent,Municipality,Chatham-Kent,Chatham-Kent M,63843,51851
3537001,Essex,Township,Pelee,Pelee Tp,NA,NA
3537003,Essex,Municipality,Leamington,Leamington M,65713,55192
3537013,Essex,Town,Kingsville,Kingsville T,78942,68419
3537016,Essex,Town,Essex,Essex T,74902,62393
3537028,Essex,Town,Amherstburg,Amherstburg T,86116,73115
3537034,Essex,Town,LaSalle,LaSalle T,103034,90737
3537039,Essex,City,Windsor,Windsor C,62175,49113
3537048,Essex,Town,Tecumseh,Tecumseh T,99800,84771
3537064,Essex,Town,Lakeshore,Lakeshore T,95625,82017
3538003,Lambton,Township,St. Clair,St. Clair Tp,86012,72444
3538007,Lambton,Township,Dawn-Euphemia,Dawn-Euphemia Tp,69160,60945
3538015,Lambton,Municipality,Brooke-Alvinston,Brooke-Alvinston M,70767,59893
3538016,Lambton,Township,Enniskillen,Enniskillen Tp,92895,79909
3538019,Lambton,Town,Petrolia,Petrolia T,70161,63396
3538030,Lambton,City,Sarnia,Sarnia C,75892,56858
3538031,Lambton,Village,Point Edward,Point Edward V,77676,64832
3538035,Lambton,Town,Plympton-Wyoming,Plympton-Wyoming T,93960,78546
3538040,Lambton,Municipality,Lambton Shores,Lambton Shores M,76817,62167
3538043,Lambton,Township,Warwick,Warwick Tp,71291,60132
3539002,Middlesex,Village,Newbury,Newbury V,50224,40612
3539005,Middlesex,Municipality,Southwest Middlesex,Southwest Middlesex M,63208,55347
3539015,Middlesex,Township,Strathroy-Caradoc,Strathroy-Caradoc Tp,69779,59737
3539027,Middlesex,Municipality,Thames Centre,Thames Centre M,100069,80714
3539033,Middlesex,Township,Middlesex Centre,Middlesex Centre M,112549,91701
3539036,Middlesex,City,London,London C,73107,56241
3539041,Middlesex,Municipality,North Middlesex,North Middlesex M,78566,65680
3539047,Middlesex,Township,Adelaide-Metcalfe,Adelaide-Metcalfe Tp,81447,69361
3539060,Middlesex,Township,Lucan Biddulph,Lucan Biddulph Tp,81839,73073
3540005,Huron,Municipality,South Huron,South Huron M,78021,56447
3540010,Huron,Municipality,Bluewater,Bluewater M,74076,57894
3540025,Huron,Municipality,Central Huron,Central Huron M,63761,51954
3540028,Huron,Town,Goderich,Goderich T,69152,56573
3540040,Huron,Municipality,Huron East,Huron East M,70756,60124
3540046,Huron,Township,Howick,Howick Tp,69202,63225
3540050,Huron,Municipality,Morris-Turnberry,Morris-Turnberry M,75007,64417
3540055,Huron,Township,North Huron,North Huron Tp,72321,57763
3540063,Huron,Township,Ashfield-Colborne-Wawanosh,Ashfield-Colborne-Wawanosh Tp,75319,62288
3541004,Bruce,Municipality,South Bruce,South Bruce M,76451,67189
3541015,Bruce,Township,Huron-Kinloss,Huron-Kinloss Tp,92270,72470
3541024,Bruce,Municipality,Kincardine,Kincardine M,96059,78284
3541032,Bruce,Municipality,Brockton,Brockton M,78630,65065
3541043,Bruce,Municipality,Arran-Elderslie,Arran-Elderslie M,76329,60362
3541045,Bruce,Town,Saugeen Shores,Saugeen Shores T,99673,81410
3541055,Bruce,Town,South Bruce Peninsula,The South Bruce Peninsula T,65291,52493
3541069,Bruce,Municipality,Northern Bruce Peninsula,Northern Bruce Peninsula M,66873,50658
3542004,Grey,Municipality,West Grey,West Grey M,68572,59205
3542005,Grey,Township,Southgate,Southgate Tp,70545,56480
3542015,Grey,Municipality,Grey Highlands,Grey Highlands M,70773,58943
3542029,Grey,Town,Hanover,Hanover T,64177,46595
3542037,Grey,Township,Chatsworth,Chatsworth Tp,70392,57378
3542045,Grey,Town,The Blue Mountains,The Blue Mountains T,90258,66428
3542047,Grey,Municipality,Meaford,Meaford M,72637,64666
3542053,Grey,Township,Georgian Bluffs,Georgian Bluffs Tp,83566,68520
3542059,Grey,City,Owen Sound,Owen Sound C,61960,49428
3543005,Simcoe,Township,Clearview,Clearview Tp,82545,69432
3543007,Simcoe,Town,New Tecumseth,New Tecumseth T,87448,77961
3543009,Simcoe,Township,Springwater,Springwater Tp,108065,84723
3543014,Simcoe,Town,Bradford West Gwillimbury,Bradford-West Gwillimbury T,92290,83205
3543015,Simcoe,Township,Severn,Severn Tp,78895,66186
3543017,Simcoe,Town,Innisfil,Innisfil T,81632,70252
3543019,Simcoe,Township,Ramara,Ramara Tp,76271,65221
3543021,Simcoe,Township,Essa,Essa Tp,90651,79877
3543023,Simcoe,Township,Oro-Medonte,Oro-Medonte Tp,103387,84129
3543031,Simcoe,Town,Collingwood,Collingwood T,72915,56131
3543042,Simcoe,City,Barrie,Barrie C,80928,69471
3543052,Simcoe,City,Orillia,Orillia C,63896,48972
3543064,Simcoe,Town,Wasaga Beach,Wasaga Beach T,66250,54241
3543068,Simcoe,Township,Tiny,Tiny Tp,77349,65666
3543071,Simcoe,Township,Tay,Tay Tp,71233,60012
3543072,Simcoe,Town,Penetanguishene,Penetanguishene T,68926,55901
3543074,Simcoe,Town,Midland,Midland T,62713,48496
3544002,Muskoka,Town,Gravenhurst,Gravenhurst T,63372,52010
3544018,Muskoka,Town,Bracebridge,Bracebridge T,74616,65932
3544042,Muskoka,Town,Huntsville,Huntsville T,74217,62673
3546005,Haliburton,Municipality,Highlands East,Highlands East M,57580,47434
3546015,Haliburton,Township,Minden Hills,Minden Hills Tp,72890,51693
3547002,Renfrew,Town,Arnprior,Arnprior T,66287,53250
3547003,Renfrew,Township,McNab/Braeside,McNab-Braeside Tp,81479,75345
3547020,Renfrew,Township,"Brudenell, Lyndoch and Raglan","Brudenell, Lyndoch and Raglan Tp",49430,38137
3547043,Renfrew,Township,Admaston/Bromley,Admaston/Bromley Tp,71156,66668
3547046,Renfrew,Township,Horton,Horton Tp,70605,68433
3547048,Renfrew,Town,Renfrew,Renfrew T,52925,41223
3547056,Renfrew,Township,Whitewater Region,Whitewater Region Tp,63863,55794
3547064,Renfrew,City,Pembroke,Pembroke C,60123,47801
3547075,Renfrew,Township,Laurentian Valley,Laurentian Valley Tp,85855,75782
3547076,Renfrew,Town,Petawawa,Petawawa T,84112,76392
3547090,Renfrew,Town,Laurentian Hills,Laurentian Hills T,76236,65350
3547096,Renfrew,Town,Deep River,Deep River T,89984,80604
3547098,Renfrew,Township,"Head, Clara and Maria","Head, Clara and Maria Tp",NA,NA
3548013,Nipissing,Township,Papineau-Cameron,Papineau-Cameron Tp,62755,51102
3548019,Nipissing,Township,Mattawan,Mattawan Tp,NA,NA
3548021,Nipissing,Town,Mattawa,Mattawa T,49771,45155
3548022,Nipissing,Township,Calvin,Calvin Tp,70121,68525
3548031,Nipissing,Township,Chisholm,Chisholm Tp,65670,53070
3548034,Nipissing,Township,East Ferris,East Ferris Tp,92081,81981
3548044,Nipissing,City,North Bay,North Bay C,70804,56609
3548055,Nipissing,Municipality,West Nipissing / Nipissing Ouest,West Nipissing M,62782,51422
3548069,Nipissing,Municipality,Temagami,Temagami M,66079,49757
3549031,Parry Sound,Municipality,McDougall,McDougall Tp,84896,69419
3549032,Parry Sound,Town,Parry Sound,Parry Sound T,57991,45854
3549036,Parry Sound,Township,Carling,Carling Tp,73673,61099
3549039,Parry Sound,Municipality,Whitestone,Whitestone M,52129,44088
3549043,Parry Sound,Municipality,Magnetawan,Magnetawan M,64129,50858
3549046,Parry Sound,Township,Strong,Strong Tp,80663,63976
3549048,Parry Sound,Village,Sundridge,Sundridge V,63054,38871
3549054,Parry Sound,Township,Machar,Machar Tp,62971,55683
